,votesAbsoluteMajority,votesMandates,votesPercentage,votesPresidents,votesVotes,county,district,availableMandates,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidate,year,votesValidVotesPercentage,coalition,parties
0,False,0,1.6730826177080247,False,226,Albergaria-a-Velha,Aveiro,False,218,1.6138584542493335,149,1.1030500444181226,8,13508,60.92,Américo Bastos Rodrigues da Silva,2009,1.7198082337721636,BE,['BE']
1,False,2,32.37340835060705,False,4373,Albergaria-a-Velha,Aveiro,False,218,1.6138584542493335,149,1.1030500444181226,8,13508,60.92,António Augusto Amaral Loureiro e Santos,2009,33.27752834639677,CDS-PP,['CDS-PP']
2,False,0,1.8359490672194254,False,248,Albergaria-a-Velha,Aveiro,False,218,1.6138584542493335,149,1.1030500444181226,8,13508,60.92,Bruno Miguel Alves Bento,2009,1.887223194581843,PCP-PEV,['PCP-PEV']
3,True,4,47.860527095054785,True,6465,Albergaria-a-Velha,Aveiro,False,218,1.6138584542493335,149,1.1030500444181226,8,13508,60.92,João Agostinho Pinto Pereira,2009,49.19716916520812,PPD/PSD,['PPD/PSD']
4,False,1,13.540124370743264,False,1829,Albergaria-a-Velha,Aveiro,False,218,1.6138584542493335,149,1.1030500444181226,8,13508,60.92,Jesus Manuel Vidinha Tomás,2009,13.918271060041093,PS,['PS']
5,False,0,9.324642404490312,False,1545,Anadia,Aveiro,False,397,2.3960407990826242,211,1.2734624901925282,15,16569,57.39,Maria do Céu Anjos Simões H. Castelo-branco,2009,9.679844621264332,CDS-PP,['CDS-PP']
6,False,0,4.840364536182026,False,802,Anadia,Aveiro,False,397,2.3960407990826242,211,1.2734624901925282,15,16569,57.39,José Francisco Paixão Correia,2009,5.024747822818119,PCP-PEV,['PCP-PEV']
7,True,5,57.0221497978152,True,9448,Anadia,Aveiro,False,397,2.3960407990826242,211,1.2734624901925282,15,16569,57.39,Litério Augusto Marques,2009,59.19428607230124,PPD/PSD,['PPD/PSD']
8,False,2,25.14333997223731,False,4166,Anadia,Aveiro,False,397,2.3960407990826242,211,1.2734624901925282,15,16569,57.39,Lino Jorge Cerveira Pintado,2009,26.101121483616314,PS,['PS']
9,False,0,9.65220789370848,False,1482,Arouca,Aveiro,False,209,1.3612088055229907,234,1.5240328253223916,20,15354,71.64,José Maria Costa Gomes,2009,9.93897122929381,CDS-PP,['CDS-PP']
10,False,0,7.594112283444053,False,1166,Arouca,Aveiro,False,209,1.3612088055229907,234,1.5240328253223916,20,15354,71.64,Vítor Fernando Gomes Brandão,2009,7.819730400375562,II,['II']
11,False,0,1.6673179627458643,False,256,Arouca,Aveiro,False,209,1.3612088055229907,234,1.5240328253223916,20,15354,71.64,Francisco Manuel da Cunha Gonçalves,2009,1.7168533297565556,PCP-PEV,['PCP-PEV']
12,False,2,19.68216751335157,False,3022,Arouca,Aveiro,False,209,1.3612088055229907,234,1.5240328253223916,20,15354,71.64,Manuel Artur de Almeida Miler,2009,20.266917041110588,PPD/PSD,['PPD/PSD']
13,True,5,58.518952715904646,True,8985,Arouca,Aveiro,False,209,1.3612088055229907,234,1.5240328253223916,20,15354,71.64,José Artur Tavares Neves,2009,60.25752799946348,PS,['PS']
14,False,0,5.070863500405333,False,1814,Aveiro,Aveiro,False,1067,2.9826964470410644,489,1.366952729712353,14,35773,53.08,Catarina Sofia Esteves Antunes Morais Gomes,2009,5.301458339421925,BE,['BE']
15,False,0,3.664775109719621,False,1311,Aveiro,Aveiro,False,1067,2.9826964470410644,489,1.366952729712353,14,35773,53.08,António Manuel Brito Moreira,2009,3.8314288219306194,PCP-PEV,['PCP-PEV']
16,True,6,53.79196600788304,True,19243,Aveiro,Aveiro,False,1067,2.9826964470410644,489,1.366952729712353,14,35773,53.08,Élio Manuel Delgado da Maia,2009,56.23812724669024,PPD/PSD.CDS-PP,"['CDS-PP', 'PPD/PSD']"
17,False,3,33.12274620523859,False,11849,Aveiro,Aveiro,False,1067,2.9826964470410644,489,1.366952729712353,14,35773,53.08,José da Cruz Costa,2009,34.62898559195721,PS,['PS']
18,False,0,1.239494014772052,False,146,Castelo de Paiva,Aveiro,False,98,0.8319891332031583,118,1.001782833856864,9,11779,78.67,Bruno Sérgio Gomes Soares,2009,1.2626481017037101,BE,['BE']
19,False,0,2.716699210459292,False,320,Castelo de Paiva,Aveiro,False,98,0.8319891332031583,118,1.001782833856864,9,11779,78.67,Paulo Fernando Nogueira Martel da Silva,2009,2.767447894145118,CDS-PP,['CDS-PP']
20,False,0,0.8234994481704729,False,97,Castelo de Paiva,Aveiro,False,98,0.8319891332031583,118,1.001782833856864,9,11779,78.67,Manuel da Rocha Vieira,2009,0.8388826429127388,PCP-PEV,['PCP-PEV']
21,False,3,46.659308939638336,False,5496,Castelo de Paiva,Aveiro,False,98,0.8319891332031583,118,1.001782833856864,9,11779,78.67,Paulo Ramalheira Teixeira,2009,47.5309175819424,PPD/PSD,['PPD/PSD']
22,True,4,46.72722641989982,True,5504,Castelo de Paiva,Aveiro,False,98,0.8319891332031583,118,1.001782833856864,9,11779,78.67,Gonçalo Fernando da Rocha de Jesus,2009,47.600103779296035,PS,['PS']
