,party,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
0,B.E.,0,1,0,1.34,0,1.4,179,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,JOSÉ OLIVEIRA SANTOS,2021
1,CDS-PP,1,1,5,59.7,1,62.5,7970,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,ANTÓNIO AUGUSTO AMARAL LOUREIRO E SANTOS,2021
2,CH,0,1,0,1.87,0,1.95,249,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,CARLOS MANUEL DA COSTA SERVEIRA VASQUES,2021
3,PCP-PEV,0,1,0,1.57,0,1.65,210,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,RODRIGO MANUEL PEREIRA MARQUES LOURENÇO,2021
4,PPD/PSD,0,1,2,24.23,0,25.37,3235,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,DELFINA LISBOA MARTINS DA CUNHA,2021
5,PS,0,1,0,6.82,0,7.14,910,Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48,JESUS MANUEL VIDINHA TOMÁS,2021
6,CH,0,1,0,2.42,0,2.54,332,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,ANTÓNIO MANUEL FERREIRA GOMES,2021
7,IL,0,1,0,1.71,0,1.8,235,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,MÁRIO RUI JESUS RODRIGUES COSME,2021
8,MIAP,1,1,4,45.34,1,47.62,6231,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,MARIA TERESA BELÉM CORREIA CARDOSO,2021
9,PCP-PEV,0,1,0,5.31,0,5.58,730,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,MARCO AURÉLIO GOUVEIA ALVES,2021
10,PPD/PSD,0,1,2,27.16,0,28.53,3733,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,JOÃO JOSÉ NOGUEIRA DE ALMEIDA,2021
11,PS,0,1,1,13.28,0,13.95,1825,Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71,ANDRÉ MIGUEL MATOS BEJA HENRIQUES,2021
12,CH,0,1,0,1.47,0,1.52,204,Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06,ANA BELA DE JESUS BERNARDINO,2021
13,E,0,1,0,0.95,0,0.98,132,Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06,ANSELMO FILIPE BRANDÃO GONÇALVES DE OLIVEIRA,2021
14,PCP-PEV,0,1,0,2.75,0,2.84,381,Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06,LARA MANUEL GUEDES DE PINHO,2021
15,PPD/PSD.CDS-PP.PPM.IL,0,1,3,41.27,0,42.65,5726,Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06,VÍTOR CARLOS COSTA CARVALHO,2021
16,PS,1,1,4,50.32,1,52.0,6981,Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06,MARGARIDA MARIA DE SOUSA CORREIA BELÉM,2021
17,B.E.,0,1,0,6.4,0,6.76,2191,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,NELSON RICARDO ESTEVES PERALTA,2021
18,CH,0,1,0,4.04,0,4.27,1383,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,CÂNDIDO TAVARES DE OLIVEIRA,2021
19,IL,0,1,0,2.31,0,2.44,790,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,MIGUEL ANTÓNIO MARQUES GOMES,2021
