,alternateCandidates,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
0,,['Américo Bastos Rodrigues da Silva'],0,B.E.,0,0,B.E.,1,0,1.67,0,226,"{'availableMandates': 0, 'blankVotes': 218, 'blankVotesPercentage': 1.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.1, 'numberParishes': 8, 'numberVoters': 13508, 'percentageVoters': 60.92}",Albergaria-a-Velha,Aveiro,0,218,1.61,,False,149,1.1,8,13508,60.92
1,,['António Augusto Amaral Loureiro e Santos'],2,CDS-PP,0,0,CDS-PP,1,2,32.37,0,4373,"{'availableMandates': 0, 'blankVotes': 218, 'blankVotesPercentage': 1.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.1, 'numberParishes': 8, 'numberVoters': 13508, 'percentageVoters': 60.92}",Albergaria-a-Velha,Aveiro,0,218,1.61,,False,149,1.1,8,13508,60.92
2,,['Bruno Miguel Alves Bento'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.84,0,248,"{'availableMandates': 0, 'blankVotes': 218, 'blankVotesPercentage': 1.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.1, 'numberParishes': 8, 'numberVoters': 13508, 'percentageVoters': 60.92}",Albergaria-a-Velha,Aveiro,0,218,1.61,,False,149,1.1,8,13508,60.92
3,,['João Agostinho Pinto Pereira'],4,PPD/PSD,1,1,PPD/PSD,1,4,47.86,1,6465,"{'availableMandates': 0, 'blankVotes': 218, 'blankVotesPercentage': 1.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.1, 'numberParishes': 8, 'numberVoters': 13508, 'percentageVoters': 60.92}",Albergaria-a-Velha,Aveiro,0,218,1.61,,False,149,1.1,8,13508,60.92
4,,['Jesus Manuel Vidinha Tomás'],1,PS,0,0,PS,1,1,13.54,0,1829,"{'availableMandates': 0, 'blankVotes': 218, 'blankVotesPercentage': 1.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.1, 'numberParishes': 8, 'numberVoters': 13508, 'percentageVoters': 60.92}",Albergaria-a-Velha,Aveiro,0,218,1.61,,False,149,1.1,8,13508,60.92
5,,['Maria do Céu Anjos Simões H. Castelo-Branco'],0,CDS-PP,0,0,CDS-PP,1,0,9.32,0,1545,"{'availableMandates': 0, 'blankVotes': 397, 'blankVotesPercentage': 2.4, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 211, 'nullVotesPercentage': 1.27, 'numberParishes': 15, 'numberVoters': 16569, 'percentageVoters': 57.39}",Anadia,Aveiro,0,397,2.4,,False,211,1.27,15,16569,57.39
6,,['José Francisco Paixão Correia'],0,PCP-PEV,0,0,PCP-PEV,1,0,4.84,0,802,"{'availableMandates': 0, 'blankVotes': 397, 'blankVotesPercentage': 2.4, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 211, 'nullVotesPercentage': 1.27, 'numberParishes': 15, 'numberVoters': 16569, 'percentageVoters': 57.39}",Anadia,Aveiro,0,397,2.4,,False,211,1.27,15,16569,57.39
7,,['Litério Augusto Marques'],5,PPD/PSD,1,1,PPD/PSD,1,5,57.02,1,9448,"{'availableMandates': 0, 'blankVotes': 397, 'blankVotesPercentage': 2.4, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 211, 'nullVotesPercentage': 1.27, 'numberParishes': 15, 'numberVoters': 16569, 'percentageVoters': 57.39}",Anadia,Aveiro,0,397,2.4,,False,211,1.27,15,16569,57.39
8,,['Lino Jorge Cerveira Pintado'],2,PS,0,0,PS,1,2,25.14,0,4166,"{'availableMandates': 0, 'blankVotes': 397, 'blankVotesPercentage': 2.4, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 211, 'nullVotesPercentage': 1.27, 'numberParishes': 15, 'numberVoters': 16569, 'percentageVoters': 57.39}",Anadia,Aveiro,0,397,2.4,,False,211,1.27,15,16569,57.39
9,,['José Maria Costa Gomes'],0,CDS-PP,0,0,CDS-PP,1,0,9.65,0,1482,"{'availableMandates': 0, 'blankVotes': 209, 'blankVotesPercentage': 1.36, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.52, 'numberParishes': 20, 'numberVoters': 15354, 'percentageVoters': 71.64}",Arouca,Aveiro,0,209,1.36,,False,234,1.52,20,15354,71.64
