,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
0,['Américo Bastos Rodrigues da Silva'],0,B.E.,0,0,B.E.,1,0,1.53,0,1.58,212,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
1,['António Augusto Amaral Loureiro e Santos '],5,CDS-PP,1,1,CDS-PP,1,5,60.61,1,62.72,8408,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
2,['Adérito Ferreira Pinto'],0,MPT,0,0,MPT,1,0,0.53,0,0.55,74,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
3,['Adelino Silva Nunes Pereira'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.64,0,1.69,227,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
4,['José Licínio Tavares Pimenta'],2,PPD/PSD,0,0,PPD/PSD,1,2,26.07,0,26.98,3617,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
5,['António Augusto Brito da Silva'],0,PS,0,0,PS,1,0,6.26,0,6.47,868,"{'availableMandates': 0, 'blankVotes': 263, 'blankVotesPercentage': 1.9, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 204, 'nullVotesPercentage': 1.47, 'numberParishes': 6, 'numberVoters': 13873, 'percentageVoters': 61.23}",Albergaria-a-Velha,Aveiro,0,263,1.9,,False,204,1.47,6,13873,61.23
6,['Henrique Spínola Martins Semedo'],0,CDS-PP,0,0,CDS-PP,1,0,4.64,0,4.93,696,"{'availableMandates': 0, 'blankVotes': 526, 'blankVotesPercentage': 3.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 374, 'nullVotesPercentage': 2.49, 'numberParishes': 10, 'numberVoters': 15015, 'percentageVoters': 55.24}",Anadia,Aveiro,0,526,3.5,,False,374,2.49,10,15015,55.24
7,['Maria Teresa Belém Correia Cardoso'],5,MIAP,1,1,MIAP,1,5,56.36,1,59.95,8462,"{'availableMandates': 0, 'blankVotes': 526, 'blankVotesPercentage': 3.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 374, 'nullVotesPercentage': 2.49, 'numberParishes': 10, 'numberVoters': 15015, 'percentageVoters': 55.24}",Anadia,Aveiro,0,526,3.5,,False,374,2.49,10,15015,55.24
8,['Maria de Fátima Gomes Martins da Costa Henriques Flores'],0,PCP-PEV,0,0,PCP-PEV,1,0,4.45,0,4.73,668,"{'availableMandates': 0, 'blankVotes': 526, 'blankVotesPercentage': 3.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 374, 'nullVotesPercentage': 2.49, 'numberParishes': 10, 'numberVoters': 15015, 'percentageVoters': 55.24}",Anadia,Aveiro,0,526,3.5,,False,374,2.49,10,15015,55.24
9,['Litério Augusto Marques'],2,PPD/PSD,0,0,PPD/PSD,1,2,28.56,0,30.39,4289,"{'availableMandates': 0, 'blankVotes': 526, 'blankVotesPercentage': 3.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 374, 'nullVotesPercentage': 2.49, 'numberParishes': 10, 'numberVoters': 15015, 'percentageVoters': 55.24}",Anadia,Aveiro,0,526,3.5,,False,374,2.49,10,15015,55.24
