,effectiveCandidates,party,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
0,['JOSÉ OLIVEIRA SANTOS'],B.E.,0,B.E.,1,0,1.34,0,1.4,179,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
1,['ANTÓNIO AUGUSTO AMARAL LOUREIRO E SANTOS'],CDS-PP,1,CDS-PP,1,5,59.7,1,62.5,7970,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
2,['CARLOS MANUEL DA COSTA SERVEIRA VASQUES'],CH,0,CH,1,0,1.87,0,1.95,249,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
3,['RODRIGO MANUEL PEREIRA MARQUES LOURENÇO'],PCP-PEV,0,PCP-PEV,1,0,1.57,0,1.65,210,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
4,['DELFINA LISBOA MARTINS DA CUNHA'],PPD/PSD,0,PPD/PSD,1,2,24.23,0,25.37,3235,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
5,['JESUS MANUEL VIDINHA TOMÁS'],PS,0,PS,1,0,6.82,0,7.14,910,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
6,['ANTÓNIO MANUEL FERREIRA GOMES'],CH,0,CH,1,0,2.42,0,2.54,332,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
7,['MÁRIO RUI JESUS RODRIGUES COSME'],IL,0,IL,1,0,1.71,0,1.8,235,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
8,['MARIA TERESA BELÉM CORREIA CARDOSO'],MIAP,1,MIAP,1,4,45.34,1,47.62,6231,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
9,['MARCO AURÉLIO GOUVEIA ALVES'],PCP-PEV,0,PCP-PEV,1,0,5.31,0,5.58,730,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
10,['JOÃO JOSÉ NOGUEIRA DE ALMEIDA'],PPD/PSD,0,PPD/PSD,1,2,27.16,0,28.53,3733,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
11,['ANDRÉ MIGUEL MATOS BEJA HENRIQUES'],PS,0,PS,1,1,13.28,0,13.95,1825,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
