Year,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year,votes.validVotesPercentage
2009,,0,B.E.,0,0,1,0,1.67,0,226,Albergaria-a-Velha,Aveiro,0,218,1.61,,FALSE,149,1.1,8,13508,60.92,Américo Bastos Rodrigues da Silva,2009,
2009,,2,CDS-PP,0,0,1,2,32.37,0,4373,Albergaria-a-Velha,Aveiro,0,218,1.61,,FALSE,149,1.1,8,13508,60.92,António Augusto Amaral Loureiro e Santos,2009,
2009,,0,PCP-PEV,0,0,1,0,1.84,0,248,Albergaria-a-Velha,Aveiro,0,218,1.61,,FALSE,149,1.1,8,13508,60.92,Bruno Miguel Alves Bento,2009,
2009,,4,PPD/PSD,1,1,1,4,47.86,1,6465,Albergaria-a-Velha,Aveiro,0,218,1.61,,FALSE,149,1.1,8,13508,60.92,João Agostinho Pinto Pereira,2009,
2009,,1,PS,0,0,1,1,13.54,0,1829,Albergaria-a-Velha,Aveiro,0,218,1.61,,FALSE,149,1.1,8,13508,60.92,Jesus Manuel Vidinha Tomás,2009,
2009,,0,CDS-PP,0,0,1,0,9.32,0,1545,Anadia,Aveiro,0,397,2.4,,FALSE,211,1.27,15,16569,57.39,Maria do Céu Anjos Simões H. Castelo-Branco,2009,
2009,,0,PCP-PEV,0,0,1,0,4.84,0,802,Anadia,Aveiro,0,397,2.4,,FALSE,211,1.27,15,16569,57.39,José Francisco Paixão Correia,2009,
2009,,5,PPD/PSD,1,1,1,5,57.02,1,9448,Anadia,Aveiro,0,397,2.4,,FALSE,211,1.27,15,16569,57.39,Litério Augusto Marques,2009,
2009,,2,PS,0,0,1,2,25.14,0,4166,Anadia,Aveiro,0,397,2.4,,FALSE,211,1.27,15,16569,57.39,Lino Jorge Cerveira Pintado,2009,
2009,,0,CDS-PP,0,0,1,0,9.65,0,1482,Arouca,Aveiro,0,209,1.36,,FALSE,234,1.52,20,15354,71.64,José Maria Costa Gomes,2009,
2009,,0,II,0,0,1,0,7.59,0,1166,Arouca,Aveiro,0,209,1.36,,FALSE,234,1.52,20,15354,71.64,Vítor Fernando Gomes Brandão,2009,
2009,,0,PCP-PEV,0,0,1,0,1.67,0,256,Arouca,Aveiro,0,209,1.36,,FALSE,234,1.52,20,15354,71.64,Francisco Manuel da Cunha Gonçalves,2009,
2009,,2,PPD/PSD,0,0,1,2,19.68,0,3022,Arouca,Aveiro,0,209,1.36,,FALSE,234,1.52,20,15354,71.64,Manuel Artur de Almeida Miler,2009,
2009,,5,PS,1,1,1,5,58.52,1,8985,Arouca,Aveiro,0,209,1.36,,FALSE,234,1.52,20,15354,71.64,José Artur Tavares Neves,2009,
2009,,0,B.E.,0,0,1,0,5.07,0,1814,Aveiro,Aveiro,0,1067,2.98,,FALSE,489,1.37,14,35773,53.08,Catarina Sofia Esteves Antunes Morais Gomes,2009,
2009,,0,PCP-PEV,0,0,1,0,3.66,0,1311,Aveiro,Aveiro,0,1067,2.98,,FALSE,489,1.37,14,35773,53.08,António Manuel Brito Moreira,2009,
2009,,6,PPD/PSD.CDS-PP,1,1,1,6,53.79,1,19243,Aveiro,Aveiro,0,1067,2.98,,FALSE,489,1.37,14,35773,53.08,Élio Manuel Delgado da Maia,2009,
2009,,3,PS,0,0,1,3,33.12,0,11849,Aveiro,Aveiro,0,1067,2.98,,FALSE,489,1.37,14,35773,53.08,José da Cruz Costa,2009,
2009,,0,B.E.,0,0,1,0,1.24,0,146,Castelo de Paiva,Aveiro,0,98,0.83,,FALSE,118,1,9,11779,78.67,Bruno Sérgio Gomes Soares,2009,
2009,,0,CDS-PP,0,0,1,0,2.72,0,320,Castelo de Paiva,Aveiro,0,98,0.83,,FALSE,118,1,9,11779,78.67,Paulo Fernando Nogueira Martel da Silva,2009,
2009,,0,PCP-PEV,0,0,1,0,0.82,0,97,Castelo de Paiva,Aveiro,0,98,0.83,,FALSE,118,1,9,11779,78.67,Manuel da Rocha Vieira,2009,
2009,,3,PPD/PSD,0,0,1,3,46.66,0,5496,Castelo de Paiva,Aveiro,0,98,0.83,,FALSE,118,1,9,11779,78.67,Paulo Ramalheira Teixeira,2009,
2009,,4,PS,1,1,1,4,46.73,1,5504,Castelo de Paiva,Aveiro,0,98,0.83,,FALSE,118,1,9,11779,78.67,Gonçalo Fernando da Rocha de Jesus,2009,
2009,,0,B.E.,0,0,1,0,3.43,0,710,Espinho,Aveiro,0,444,2.14,,FALSE,263,1.27,5,20708,65.65,Carlos Alberto Silva,2009,
2009,,0,CDS-PP,0,0,1,0,9.19,0,1903,Espinho,Aveiro,0,444,2.14,,FALSE,263,1.27,5,20708,65.65,Marques Baptista,2009,
2009,,0,PCP-PEV,0,0,1,0,6.55,0,1356,Espinho,Aveiro,0,444,2.14,,FALSE,263,1.27,5,20708,65.65,Fausto Neves,2009,
2009,,4,PPD/PSD,1,1,1,4,39.11,1,8099,Espinho,Aveiro,0,444,2.14,,FALSE,263,1.27,5,20708,65.65,Pinto Moreira,2009,
2009,,3,PS,0,0,1,3,38.31,0,7933,Espinho,Aveiro,0,444,2.14,,FALSE,263,1.27,5,20708,65.65,José Mota,2009,
2009,,0,PCP-PEV,0,0,1,0,4.36,0,617,Estarreja,Aveiro,0,232,1.64,,FALSE,187,1.32,7,14160,56.33,António Manuel de Figueiredo Vidal,2009,
2009,,5,PPD/PSD.CDS-PP,1,1,1,5,64.15,1,9083,Estarreja,Aveiro,0,232,1.64,,FALSE,187,1.32,7,14160,56.33,José Eduardo Alves Valente de Matos,2009,
2009,,2,PS,0,0,1,2,28.54,0,4041,Estarreja,Aveiro,0,232,1.64,,FALSE,187,1.32,7,14160,56.33,Fernando Manuel Mendonça Albergaria Matos,2009,
2009,,5,PS,1,1,1,5,61.26,1,6517,Mealhada,Aveiro,0,311,2.92,,FALSE,149,1.4,8,10639,57.29,Carlos Alberto da Costa Cabral,2009,
2009,,0,CDS-PP,0,0,1,0,2.18,0,112,Murtosa,Aveiro,0,83,1.62,,FALSE,63,1.23,4,5133,52.15,Ana Sofia Ribeiro Brandão,2009,
2009,,0,PCP-PEV,0,0,1,0,1.62,0,83,Murtosa,Aveiro,0,83,1.62,,FALSE,63,1.23,4,5133,52.15,Jorge Augusto Portela Vieira,2009,
2009,,4,PPD/PSD,1,1,1,4,66.3,1,3403,Murtosa,Aveiro,0,83,1.62,,FALSE,63,1.23,4,5133,52.15,António Maria dos Santos Sousa,2009,
2009,,1,PS,0,0,1,1,27.06,0,1389,Murtosa,Aveiro,0,83,1.62,,FALSE,63,1.23,4,5133,52.15,Ana Maria Farelo Mendes Silva Rebimbas,2009,
2009,,0,B.E.,0,0,1,0,2.39,0,938,Oliveira de Azeméis,Aveiro,0,700,1.78,,FALSE,463,1.18,19,39239,64.39,Cláudia Patrícia de Pinho Ribeiro,2009,
2009,,0,CDS-PP,0,0,1,0,7.46,0,2928,Oliveira de Azeméis,Aveiro,0,700,1.78,,FALSE,463,1.18,19,39239,64.39,António Pinto Moreira,2009,
2009,,0,PCP-PEV,0,0,1,0,1.79,0,703,Oliveira de Azeméis,Aveiro,0,700,1.78,,FALSE,463,1.18,19,39239,64.39,António Costa Alves,2009,
2009,,5,PPD/PSD,1,1,1,5,44.83,1,17590,Oliveira de Azeméis,Aveiro,0,700,1.78,,FALSE,463,1.18,19,39239,64.39,Hermínio José Sobral de Loureiro Gonçalves,2009,
2009,,4,PS,0,0,1,4,40.56,0,15917,Oliveira de Azeméis,Aveiro,0,700,1.78,,FALSE,463,1.18,19,39239,64.39,Maria Helena Terra de Oliveira,2009,
2009,,2,CDS-PP,0,0,1,2,31.49,0,3658,Oliveira do Bairro,Aveiro,0,179,1.54,,FALSE,166,1.43,6,11615,58.01,Acílio Domingues Gala,2009,
2009,,0,PCP-PEV,0,0,1,0,1.22,0,142,Oliveira do Bairro,Aveiro,0,179,1.54,,FALSE,166,1.43,6,11615,58.01,Artur Pereira Ramísio,2009,
2009,,4,PPD/PSD,1,1,1,4,53.58,1,6223,Oliveira do Bairro,Aveiro,0,179,1.54,,FALSE,166,1.43,6,11615,58.01,Mário João Ferreira da Silva Oliveira,2009,
2009,,1,PS,0,0,1,1,10.74,0,1247,Oliveira do Bairro,Aveiro,0,179,1.54,,FALSE,166,1.43,6,11615,58.01,Henrique Santiago Tomás,2009,
2009,,0,B.E.,0,0,1,0,9.4,0,2657,Ovar,Aveiro,0,605,2.14,,FALSE,368,1.3,8,28252,58.79,José David Mendes de Almeida,2009,
2009,,0,PCP-PEV,0,0,1,0,4.86,0,1373,Ovar,Aveiro,0,605,2.14,,FALSE,368,1.3,8,28252,58.79,José dos Santos Cardoso Macedo,2009,
